longitude,latitude,median_income,median_house_value
-122.23,37.88,8.3252,452600.0
-122.22,37.86,8.3014,358500.0
-122.24,37.85,7.2574,352100.0
-122.25,37.85,5.6431,341300.0
-122.25,37.85,3.8462,342200.0
-122.25,37.85,4.0368,269700.0
-122.25,37.84,3.6591,299200.0
-122.25,37.84,3.12,241400.0
-122.26,37.84,2.0804,226700.0
-122.25,37.84,3.6912,261100.0
-122.26,37.85,3.2031,281500.0
-122.26,37.85,3.2705,241800.0
-122.26,37.85,3.075,213500.0
-122.26,37.84,2.6736,191300.0
-122.26,37.85,1.9167,159200.0
-122.26,37.85,2.125,140000.0
-122.27,37.85,2.775,152500.0
-122.27,37.85,2.1202,155500.0
-122.26,37.84,1.9911,158700.0
-122.27,37.84,2.6033,162900.0
-122.27,37.85,1.3578,147500.0
-122.27,37.85,1.7135,159800.0
-122.27,37.84,1.725,113900.0
-122.27,37.84,2.1806,99700.0
-122.27,37.84,2.6,132600.0
-122.28,37.85,2.4038,107500.0
-122.28,37.85,2.4597,93800.0
-122.28,37.85,1.808,105500.0
-122.28,37.84,1.6424,108900.0
-122.28,37.84,1.6875,132000.0
-122.28,37.84,1.9274,122300.0
-122.28,37.84,1.9615,115200.0
-122.27,37.84,1.7969,110400.0
-122.27,37.83,1.375,104900.0
-122.27,37.83,2.7303,109700.0
-122.27,37.83,1.4861,97200.0
-122.27,37.83,1.0972,104500.0
-122.28,37.83,1.4103,103900.0
-122.26,37.83,3.48,191400.0
-122.26,37.83,2.5898,176000.0
-122.26,37.83,2.0978,155400.0
-122.26,37.83,1.2852,150000.0
-122.26,37.84,1.025,118800.0
-122.26,37.84,3.9643,188800.0
-122.26,37.83,3.0125,184400.0
-122.26,37.83,2.6768,182300.0
-122.26,37.83,2.026,142500.0
-122.27,37.82,1.7348,137500.0
-122.26,37.82,0.9506,187500.0
-122.27,37.82,1.775,112500.0
-122.27,37.82,0.9218,171900.0
-122.27,37.82,1.5045,93800.0
-122.27,37.82,1.1108,97500.0
-122.27,37.82,1.2475,104200.0
-122.28,37.82,1.6098,87500.0
-122.28,37.82,1.4113,83100.0
-122.28,37.82,1.5057,87500.0
-122.28,37.82,0.8172,85300.0
-122.28,37.82,1.2171,80300.0
-122.29,37.82,2.5625,60000.0
-122.29,37.83,3.3929,75700.0
-122.29,37.82,6.1183,75000.0
-122.29,37.81,0.9011,86100.0
-122.3,37.81,1.191,76100.0
-122.3,37.81,2.5938,73500.0
-122.3,37.81,1.1667,78400.0
-122.3,37.81,0.8056,84400.0
-122.29,37.8,2.6094,81300.0
-122.3,37.81,1.8516,85000.0
-122.29,37.81,0.9802,129200.0
-122.29,37.81,1.7719,82500.0
-122.29,37.81,0.7286,95200.0
-122.29,37.81,1.75,75000.0
-122.29,37.81,0.4999,67500.0
-122.29,37.81,2.483,137500.0
-122.28,37.81,0.9241,177500.0
-122.28,37.81,2.4464,102100.0
-122.28,37.81,1.1111,108300.0
-122.29,37.81,0.8026,112500.0
-122.28,37.8,2.0114,131300.0
-122.28,37.81,1.5,162500.0
-122.27,37.81,1.1667,112500.0
-122.28,37.81,1.5208,112500.0
-122.28,37.81,0.8075,137500.0
-122.28,37.81,1.8088,118800.0
-122.28,37.81,2.4083,98200.0
-122.27,37.81,0.977,118800.0
-122.27,37.81,0.76,162500.0
-122.27,37.8,0.9722,137500.0
-122.27,37.8,1.2434,500001.0
-122.27,37.8,2.0938,162500.0
-122.28,37.8,0.8668,137500.0
-122.28,37.8,0.75,162500.0
-122.27,37.79,2.6354,187500.0
-122.27,37.8,1.8477,179200.0
-122.26,37.8,2.0096,130000.0
-122.26,37.82,2.8345,183800.0
-122.26,37.81,2.0062,125000.0
-122.26,37.82,1.2185,170000.0
-122.26,37.82,2.6104,193100.0
-122.25,37.81,2.4912,257800.0
-122.25,37.81,3.2177,273400.0
-122.25,37.81,3.125,237500.0
-122.25,37.81,2.5795,350000.0
-122.26,37.81,2.8406,335700.0
-122.24,37.82,4.9306,313400.0
-122.24,37.81,3.2727,268500.0
-122.25,37.81,3.1691,259400.0
-122.24,37.82,3.9,275700.0
-122.25,37.82,3.9063,225000.0
-122.25,37.82,5.0917,262500.0
-122.25,37.82,2.6429,218500.0
-122.25,37.82,3.0233,255000.0
-122.25,37.83,3.1484,224100.0
-122.25,37.83,3.4722,243100.0
-122.25,37.83,3.1429,231600.0
-122.25,37.83,2.4234,218500.0
-122.25,37.83,3.0897,234100.0
-122.23,37.84,5.8596,327600.0
-122.23,37.84,5.2868,347600.0
-122.24,37.83,5.956,366100.0
-122.24,37.85,4.9643,335000.0
-122.23,37.85,6.3434,373600.0
-122.24,37.84,5.1773,389500.0
-122.24,37.85,7.2354,391100.0
-122.22,37.85,5.457,337300.0
-122.22,37.84,7.5,295200.0
-122.21,37.84,6.0194,292300.0
-122.21,37.83,7.5544,411500.0
-122.2,37.84,6.0666,311500.0
-122.21,37.84,7.0548,325900.0
-122.19,37.84,11.6017,392600.0
-122.2,37.84,7.4882,319300.0
-122.21,37.83,6.8976,333300.0
-122.19,37.83,8.2049,335200.0
-122.2,37.83,8.401,351200.0
-122.19,37.83,6.8538,368900.0
-122.19,37.82,8.317,365900.0
-122.2,37.82,7.0175,366700.0
-122.2,37.82,6.3302,362800.0
-122.18,37.81,6.3624,483300.0
-122.21,37.82,7.0549,331400.0
-122.2,37.81,6.7851,323500.0
-122.21,37.8,2.8929,216700.0
-122.21,37.8,3.0812,233100.0
-122.21,37.81,5.2402,296400.0
-122.22,37.81,6.5217,273700.0
-122.22,37.8,3.2632,227700.0
-122.22,37.8,3.0298,199600.0
-122.22,37.8,4.5428,239800.0
-122.22,37.81,4.072,270100.0
-122.22,37.81,5.3509,302100.0
-122.23,37.8,3.1603,269500.0
-122.23,37.81,4.7708,314700.0
-122.22,37.81,8.1564,390100.0
-122.23,37.81,8.8793,410300.0
-122.24,37.81,6.8591,352400.0
-122.24,37.81,6.0302,287300.0
-122.23,37.81,7.508,348700.0
-122.24,37.81,2.7477,243800.0
-122.24,37.8,2.1944,211500.0
-122.25,37.8,3.0149,218400.0
-122.24,37.81,3.675,269900.0
-122.25,37.81,3.225,218800.0
-122.25,37.8,2.9345,225000.0
-122.25,37.8,2.1429,250000.0
-122.25,37.8,1.6121,171400.0
-122.25,37.8,1.3929,193800.0
-122.24,37.79,2.3173,125000.0
-122.25,37.79,1.7772,97500.0
-122.25,37.79,2.6458,125000.0
-122.25,37.79,2.181,138800.0
-122.25,37.8,2.2303,116700.0
-122.25,37.8,1.6504,151800.0
-122.24,37.8,2.2697,127000.0
-122.24,37.8,2.1563,128600.0
-122.24,37.8,2.1348,140600.0
-122.24,37.8,2.6292,182700.0
-122.23,37.8,2.3833,146900.0
-122.24,37.8,2.957,122800.0
-122.24,37.8,2.5238,169300.0
-122.23,37.8,1.9375,126600.0
-122.23,37.8,1.9028,127900.0
-122.23,37.8,2.25,123500.0
-122.23,37.8,2.3929,111900.0
-122.23,37.79,2.1917,112800.0
-122.23,37.79,2.9357,107900.0
-122.23,37.79,1.8854,137500.0
-122.24,37.79,2.1638,105500.0
-122.24,37.79,2.125,95500.0
-122.24,37.79,3.375,116100.0
-122.24,37.79,2.2542,112200.0
